GASVISION_FILEVERSION;3;4.50
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
DECIMALSEPARATOR;.
DATESEPARATOR;/
SHORTDATEFORMAT;M/d/yyyy
TIMESEPARATOR;:
TIMEAMSTRING;AM
TIMEPMSTRING;PM
LONGTIMEFORMAT;h:mm:ss AMPM
SESSION_HEADER;Peak;30;7/15/2014 1:44:39 PM;7/15/2014 2:51:10 PM;X-am 7000;ARAA0098;1;PERSONAL-ID;2.02W
GASTYPE;;CH4;CO2;CO;NH3;SO2;
UNITNAME;;Vol%;Vol%;ppm;ppm;ppm;
VAL;7/16/2014 8:51:04 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:51:34 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:52:04 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:52:34 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:53:04 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:53:34 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:54:04 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:54:34 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:55:04 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:55:34 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:56:04 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:56:34 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:57:04 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:57:34 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:58:04 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:58:34 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:59:04 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:59:34 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 9:00:04 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 9:00:34 AM;0.000;0.029;0.000;0.000;0.000;
